date,Families,Individuals (Adults)
2015-09-01,2130,4464
2015-09-18,2145,4497
2016-03-08,2242,4713
2016-03-31,2255,4742
2016-11-30,2506,5251
2016-12-01,2496,5234
2016-12-06,2503,5247
2016-12-08,2511,5268
2017-01-08,2524,5297
2017-01-12,2535,5318
2017-02-13,2508,5272
2017-02-15,2507,5268
2017-02-22,2504,5261
2017-02-26,2500,5258
2017-03-15,2517,5290
2017-06-29,2444,5165
2017-07-06,2452,5181
2017-10-24,2509,5293
2017-11-30,2522,5313
2017-12-12,2507,5286
2017-12-14,2524,5320
2018-01-16,2504,5286
2018-01-25,2505,5284
2018-02-05,2515,5304
2018-02-11,2479,5231
2018-02-22,2477,5224
2018-03-08,2466,5212
2018-03-26,2469,5208
2018-09-06,2489,5290
2018-09-09,2473,5255
2018-09-10,2485,5283
2018-09-12,2500,5313
2018-09-13,2503,5323
2018-09-30,2496,5301
2018-10-23,2526,5356
2018-10-24,2527,5355
2018-10-25,2532,5366
2018-10-28,2541,5379
2018-10-30,2542,5379
2018-11-01,2548,5392
2018-11-06,2541,5382
2018-11-07,2545,5390
2018-11-08,2544,5389
2018-11-13,2544,5394
2018-11-15,2551,5409
2018-11-18,2548,5398
2018-11-22,2539,5374
2018-11-26,2531,5363
2018-11-27,2520,5339
2018-11-29,2523,5340
2018-12-03,2522,5338
2018-12-06,2520,5331
2018-12-09,2530,5354
2018-12-10,2537,5368
2018-12-11,2533,5361
2018-12-13,2549,5398
2018-12-16,2533,5361
2018-12-18,2543,5381
2018-12-26,2557,5408
2018-12-30,2520,5327
2019-04-25,2512,5294
2019-06-08,2505,5299
2019-06-10,2526,5342
2019-06-11,2522,5335
2019-06-12,2522,5334
2019-06-23,2515,5323
2019-07-08,2522,5327
2019-07-17,2490,5266
2019-08-06,2497,5263
2019-09-08,2508,5300
2019-09-19,2506,5295
2019-09-30,2501,5291
2019-10-01,2511,5309
2019-10-22,2532,5344
2019-12-30,2471,5197
2020-01-09,2475,5207
2020-01-12,2458,5170
2020-01-13,2488,5232
2020-01-15,2481,5223
2020-01-16,2479,5218
2020-01-20,2486,5236
2020-01-30,2476,5212
2020-02-02,2458,5176
2020-02-03,2470,5202
2020-02-04,2456,5171
2020-02-05,2457,5177
2020-03-19,2444,5151
2020-04-06,2448,5154
2020-04-09,2433,5121
2020-04-14,2425,5109
2020-05-03,2357,4975
2020-05-04,2364,4986
2020-06-18,2289,4834
2020-08-06,2205,4660
2020-08-09,2196,4641
2020-09-30,2096,4434
2020-10-15,2086,4411
2020-10-21,2062,4358
2020-11-09,2043,4314
2020-11-18,2027,4282
2020-12-10,2020,4265
2020-12-17,2025,4270
2020-12-23,2003,4223
2021-01-05,1977,4176
2021-01-26,1956,4125
2021-03-01,1920,4054
2021-03-02,1922,4056
2021-03-03,1913,4036
2021-03-04,1911,4035
2021-03-08,1901,4016
2021-03-17,1878,3976
2021-03-25,1879,3968
2021-04-04,1859,3928
2021-04-11,1862,3908
2021-04-15,1840,3873
2021-04-19,1841,3879
2021-04-29,1814,3819
2021-05-04,1811,3805
2021-05-05,1804,3792
2021-05-06,1803,3792
2021-05-11,1784,3753
2021-05-13,1780,3742
2021-05-17,1778,3739
2021-05-19,1760,3701
2021-05-31,1748,3675
2021-06-02,1737,3655
2021-06-03,1738,3656
2021-06-07,1746,3673
2021-06-08,1737,3654
2021-06-09,1735,3651
2021-06-10,1732,3646
2021-06-13,1736,3647
2021-06-17,1728,3633
2021-07-06,1693,3565
2021-08-26,1592,3342
2021-09-12,1582,3317
2021-10-31,1559,3267
2021-11-21,1511,3166
2021-11-25,1512,3167
2021-12-12,1497,3137
2021-12-26,1457,3051
2022-01-04,1445,3023
2022-01-05,1455,3042
